time,beta->alpha,alpha->venus,alpha->alpha,alpha->IAA,beta->IAA,IAA->GFP,IAA->IAA,IAA->alpha
0,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001
4,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001
8,0.000001,0.000001,0.001,0.000001,0.000001,0.000001,0.000001,0.00001
12,0.00001,0.01,0.01,0.001,0.01,0.001,0.00001,0.00001
16,0.001,0.01,1,0.1,0.1,0.01,0.001,0.0001
20,1,1,100,10,100,0.01,0.01,0.0001
24,100,100,100,100,100,10,1,0.01
28,100,100,100,100,100,10,1,0.1
40,100,100,100,100,100,100,100,10
44,100,100,100,100,100,100,100,100